title,diameter,closeness,clustering,betweenness,edit count,editor count,article size,class
Ferugliotherium,32,0.10147033462639929,0.056589501472230685,0.14926764777511045,133,67,51285,FA
Yosemite National Park,32,0.1450497310346383,0.03644089908099706,0.00397014821172111,3432,1594,87831,FA
John Calvin,37,0.14282376216489534,0.0633452491695977,0.002655667181391083,5827,2459,94449,FA
Red-throated loon,22,0.1621464109839735,0.09632716712515753,0.0267198496346477,782,215,45434,FA
Japanese aircraft carrier Sōryū,57,0.05646929264112201,0.04682750045383433,0.08685923807217939,496,228,43692,FA
Red Skelton,45,0.10595980896784526,0.051079184903765146,0.013493429270831598,2741,697,164755,FA
Californium,31,0.13592966064425574,0.050506876537587626,0.009314603510173628,1622,741,42875,FA
Guinea pig,32,0.15751389359175583,0.06348144185699535,0.0022574575918803013,5858,2567,88468,FA
Alexandra of Denmark,24,0.20051566969814455,0.14071943663511516,0.006971670241955584,1725,638,48976,FA
Casey Stengel,29,0.11941881228724895,0.0741284205784897,0.016494757490772116,1472,484,102743,FA
Enter the Wu-Tang (36 Chambers),40,0.14756188741483767,0.10779058325426753,0.009736960254003505,2170,683,63506,FA
Rani Mukerji,28,0.2213735298840855,0.2184510255061961,0.0018230173250280148,8397,2062,118711,FA
Right whale,40,0.09903407777575812,0.025315814370639036,0.013634810760871403,1538,717,74141,FA
Comet Hyakutake,30,0.0925585164927533,0.03618061723578404,0.033779198110785974,636,302,26347,FA
"Jerome, Arizona",26,0.14320679018251567,0.09520646972403717,0.026138575458946933,1029,249,57483,FA
Big Star,60,0.08607681141233223,0.05577235630429206,0.02513714975993105,1395,480,66401,FA
Highway 61 Revisited,76,0.08183284737601641,0.04701285387051184,0.021062243999103416,1872,582,61790,FA
Margaret Murray,42,0.10511960028666688,0.048417373606034854,0.03352437865375902,1017,280,97902,FA
Derek Jeter,38,0.14457131170293397,0.0735697092510847,0.0022684303363569715,7669,2795,173316,FA
Royal assent,47,0.09874184657974129,0.021440434998711982,0.02009696145557491,1201,502,81993,FA
Song dynasty,43,0.14560557955926023,0.06825391392213682,0.004150124100694033,5047,1556,115445,FA
Ahalya,45,0.08646453678264754,0.1053174710155524,0.04402234852583966,1408,271,76534,FA
Japanese aircraft carrier Hiryū,47,0.07904681331855881,0.038389052548803586,0.05295006568401072,441,241,46624,FA
Nebular hypothesis,34,0.11464029189882863,0.02850134134399946,0.015289127592689643,1195,544,74233,FA
Messier 87,38,0.11025960274185286,0.06892326638418206,0.020367775895753015,1176,431,80014,FA
Mary Celeste,66,0.09482445351007557,0.025097509464351797,0.0057287185467167325,3800,1834,60380,FA
Ralph Vaughan Williams,29,0.13144473385682198,0.030531999041789184,0.009109478141736207,1757,777,102386,FA
Battle of Hastings,75,0.12748640662106434,0.035942287405440115,0.0027559931309050273,5941,2772,63905,FA
Imagism,54,0.06256332604770536,0.02259074621865167,0.04866643172525311,726,332,31013,FA
Myles Standish,95,0.059141488241026025,0.03623932646730117,0.033850948225802126,1509,565,44851,FA
Execution by elephant,43,0.08162106744611827,0.03082988170313909,0.025348320172488586,803,480,23878,FA
